Name                                                                                                                                                              Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\__init__.py                                                                      410    410     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\__init__.py                                                                   0      0   100%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__init__.py                                                                0      0   100%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\__init__.py                                                  29     29     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\autograph\__init__.py                                         6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\decorator\__init__.py                                         6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\dispatch\__init__.py                                          7      7     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\distribute\__init__.py                                        6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\distribute\combinations\__init__.py                          22     22     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\distribute\multi_process_runner\__init__.py                  11     11     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\eager_context\__init__.py                                     9      9     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\feature_column\__init__.py                                   11     11     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\function\__init__.py                                          6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\graph_util\__init__.py                                        5      5     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\monitoring\__init__.py                                        5      5     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\nest\__init__.py                                             12     12     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\ops\__init__.py                                               6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\saved_model\__init__.py                                       6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\test\__init__.py                                              6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\test\combinations\__init__.py                                11     11     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\tf2\__init__.py                                               5      5     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\tracking\__init__.py                                         12     12     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__internal__\types\__init__.py                                             5      5     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\__operators__\__init__.py                                                  8      8     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\audio\__init__.py                                                          6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\autodiff\__init__.py                                                       6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\autograph\__init__.py                                                      9      9     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\autograph\experimental\__init__.py                                         7      7     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\bitwise\__init__.py                                                       10     10     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\__init__.py                                                        19     19     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\__init__.py                                                    675    675     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\app\__init__.py                                                  5      5     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\audio\__init__.py                                                6      6     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\autograph\__init__.py                                            9      9     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\autograph\experimental\__init__.py                               7      7     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\bitwise\__init__.py                                             10     10     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\compat\__init__.py                                              19     19     0%
C:\Users\MY-PC\AppData\Local\Programs\Python\Python39\Lib\site-packages\tensorflow\_api\v2\compat\v1\compat\v1\__init__.py                                          675    675     0%
